https://greatawakening.win/p/140vaMfeFT/followup-on-moderna-bad-batches-/c/

vax_lot  | expiry_date 
 079C21A   | 2022-01-16
 078C21A   | 2022-01-15
 051E21A   | 2022-01-14
 077C21B   | 2022-01-14
 076C21A   | 2022-01-13
 001F21A   | 2022-01-12
 939900    | 2022-01-12
 052C21A   | 2022-01-10
 053C21A   | 2022-01-09
 057E21A   | 2022-01-09
 048E21A   | 2022-01-07
 055E21A   | 2022-01-06
 050C21A   | 2022-01-06
 045C21A   | 2022-01-04
 037C21A   | 2022-01-02
 939896    | 2022-01-02
 036C21A   | 2022-01-01
 939895    | 2021-12-30
 035C21A   | 2021-12-30
 040C21A   | 2021-12-30
 027C21A   | 2021-12-26
 024C21A   | 2021-12-26
 939894    | 2021-12-25
 023C21A   | 2021-12-24
 022C21A   | 2021-12-23
 025C21A   | 2021-12-23
 087D21A   | 2021-12-23
 005C21A   | 2021-12-22
 086D21A   | 2021-12-21
 021C21A   | 2021-12-21
 016C21A   | 2021-12-20
 017C21A   | 2021-12-19
 939893    | 2021-12-19
 004C21A   | 2021-12-19
 084D21A   | 2021-12-18
 939892    | 2021-12-18
 084D21A-1 | 2021-12-18
 003C21A   | 2021-12-17
 014E21A   | 2021-12-16
 014C21A   | 2021-12-16
 939891    | 2021-12-16
 083D21A   | 2021-12-16
 002C21A   | 2021-12-14
 060D21A   | 2021-12-13
 001C21A   | 2021-12-13
 007C21A   | 2021-12-12
 059D21A   | 2021-12-12
 067D21A   | 2021-12-11
 066D21A   | 2021-12-09
 057D21A   | 2021-12-09
 065D21A   | 2021-12-08
 064D21A   | 2021-12-07
 056D21A   | 2021-12-07
 046B21A   | 2021-12-06
 044B21A   | 2021-12-06
 939890    | 2021-12-06
 055D21A   | 2021-12-05
 939889    | 2021-12-05
 063D21A   | 2021-12-05
 041D21A   | 2021-12-04
 939888    | 2021-12-03
 040D21A   | 2021-12-02
 039B21A   | 2021-12-02
 054D21A   | 2021-12-01
 008D21A   | 2021-12-01
 024D21A   | 2021-11-30
 020G21A   | 2021-11-30
 047D21A   | 2021-11-30
 028D21A   | 2021-11-29
 023D21A   | 2021-11-29
 036B21A   | 2021-11-28
 022D21A   | 2021-11-28
 022B21A   | 2021-11-28
